segment,horisont,n,snitt,median,hit_rate
Alle kjøp,1m,2266,-0.006654053241846816,-0.009633933374023629,0.45233892321270963
Alle kjøp,3m,2213,-0.025302385231646164,-0.021230728975747848,0.4482602801626751
Alle kjøp,6m,2151,-0.05401895900579259,-0.05501367083022868,0.400278940027894
Alle kjøp,12m,2006,-0.1288166067829882,-0.10774854993656702,0.3813559322033898
Cluster-kjøp,1m,1356,-0.008922465527617038,-0.011428076919620556,0.4446902654867257
Cluster-kjøp,3m,1325,-0.035654229238428856,-0.026232919810987854,0.44075471698113206
Cluster-kjøp,6m,1300,-0.08688635972413042,-0.06589713248652035,0.3869230769230769
Cluster-kjøp,12m,1224,-0.19828108332742136,-0.1520321918300579,0.3545751633986928
CEO/CFO/styreleder,1m,418,-0.014200997103126545,-0.011348851074889477,0.4354066985645933
CEO/CFO/styreleder,3m,405,-0.00657967946312346,0.0008919348041636077,0.5037037037037037
CEO/CFO/styreleder,6m,396,-0.011433162601424554,-0.007848760127837862,0.4898989898989899
CEO/CFO/styreleder,12m,366,-0.028670482554364086,-0.045960759265174955,0.42896174863387976
